Input Size,Operation,Average Time (ms),Standard Deviation (ms),Average Space (bytes)
100,push,0.027,0.006,3760
200,push,0.045,0.003,7296
400,push,0.083,0.005,14496
800,push,0.172,0.004,29376
1600,push,0.376,0.025,59200
3200,push,0.755,0.010,115680
6400,push,1.574,0.022,232320
12800,push,3.133,0.069,466336
25600,push,6.421,0.282,935904
51200,push,13.126,0.656,1878016
102400,push,26.310,1.086,3768384
204800,push,53.874,2.050,7561536
100,pop,0.088,0.008,96
200,pop,0.207,0.022,96
400,pop,0.451,0.018,96
800,pop,0.993,0.019,96
1600,pop,2.283,0.014,96
3200,pop,5.248,0.104,96
6400,pop,11.315,0.211,96
12800,pop,24.150,0.419,96
25600,pop,53.058,1.055,96
51200,pop,123.465,3.125,96
102400,pop,276.699,19.396,96
204800,pop,553.578,7.716,96
100,peek,0.024,0.005,3760
200,peek,0.043,0.003,7296
400,peek,0.086,0.009,14496
800,peek,0.174,0.006,29376
1600,peek,0.392,0.028,59200
3200,peek,0.782,0.022,115680
6400,peek,1.651,0.043,232320
12800,peek,3.331,0.180,466336
25600,peek,6.770,0.742,935904
51200,peek,14.603,2.962,1878016
102400,peek,27.295,0.718,3768384
204800,peek,54.042,1.559,7561536
